Accessions,Mother,Location,Date,Height,rockdust,section
S1,tap,T1A1,19/09/18,,,
S2,Amp_806,T1A2,19/09/18,4,y,Exsertaria
S3,Amp_806,T1A3,19/09/18,4.5,n,Exsertaria
S4,Amp_806,T1A4,19/09/18,3.5,y,Exsertaria
S5,Amp_806,T1A5,19/09/18,4.5,n,Exsertaria
S6,Amp_806,T1B1,19/09/18,0,y,Exsertaria
S7,Amp_806,T1B2,19/09/18,1,n,Exsertaria
S8,Amp_806,T1B3,19/09/18,0,y,Exsertaria
S9,Amp_806,T1B4,19/09/18,0,n,Exsertaria
S10,Amp_806,T1B5,19/09/18,5.5,y,Exsertaria
S11,Amp_806,T1C1,19/09/18,2,n,Exsertaria
S12,Amp_806,T1C2,19/09/18,7.5,y,Exsertaria
S13,Amp_806,T1C3,19/09/18,0,n,Exsertaria
S14,Amp_806,T1C4,19/09/18,0,y,Exsertaria
S15,Amp_806,T1C5,19/09/18,5,n,Exsertaria
S16,Amp_806,T1D1,19/09/18,3.5,y,Exsertaria
S17,Amp_806,T1D2,19/09/18,2.3,n,Exsertaria
S18,Amp_806,T1D3,19/09/18,1,y,Exsertaria
S19,Amp_806,T1D4,19/09/18,0.5,n,Exsertaria
S20,Amp_806,T1D5,19/09/18,0,y,Exsertaria
S21,Mel_704,T2A1,19/09/18,0.4,y,Adnataria
S22,Mel_704,T2A2,19/09/18,9.5,n,Adnataria
S23,Mel_704,T2A3,19/09/18,10,y,Adnataria
S24,Mel_704,T2A4,19/09/18,0.4,n,Adnataria
S25,Mel_704,T2A5,19/09/18,1.8,y,Adnataria
S26,Mel_704,T2B1,19/09/18,1,n,Adnataria
S27,Mel_704,T2B2,19/09/18,7.5,y,Adnataria
S28,Mel_704,T2B3,19/09/18,0,n,Adnataria
S29,Mel_704,T2B4,19/09/18,0.8,y,Adnataria
S30,Mel_704,T2B5,19/09/18,0,n,Adnataria
S31,Mel_704,T2C1,19/09/18,0.5,y,Adnataria
S32,Mel_704,T2C2,19/09/18,4,n,Adnataria
S33,Mel_704,T2C3,19/09/18,9.6,y,Adnataria
S34,Mel_704,T2C4,19/09/18,0.9,n,Adnataria
S35,Mel_704,T2C5,19/09/18,4.7,y,Adnataria
S36,Mel_704,T2D1,19/09/18,0,n,Adnataria
S37,Mel_704,T2D2,19/09/18,6.6,y,Adnataria
S38,Mel_704,T2D3,19/09/18,0,n,Adnataria
S39,Mel_704,T2D4,19/09/18,6.6,y,Adnataria
S40,Mel_704,T2D5,19/09/18,4.1,n,Adnataria
S41,Sid_2811,T3A1,19/09/18,7.5,n,Adnataria
S42,Sid_2811,T3A2,19/09/18,0,y,Adnataria
S43,Sid_2811,T3A3,19/09/18,0,n,Adnataria
S44,Sid_2811,T3A4,19/09/18,3,y,Adnataria
S45,Sid_2811,T3A5,19/09/18,5,n,Adnataria
S46,Sid_2811,T3B1,19/09/18,6.3,y,Adnataria
S47,Sid_2811,T3B2,19/09/18,6.4,n,Adnataria
S48,Sid_2811,T3B3,19/09/18,2.5,y,Adnataria
S49,Sid_2811,T3B4,19/09/18,3.8,n,Adnataria
S50,Sid_2811,T3B5,19/09/18,8.9,y,Adnataria
S51,Sid_2811,T3C1,19/09/18,7.6,n,Adnataria
S52,Sid_2811,T3C2,19/09/18,2.1,y,Adnataria
S53,Sid_2811,T3C3,19/09/18,4.3,n,Adnataria
S54,Sid_2811,T3C4,19/09/18,5,y,Adnataria
S55,Sid_2811,T3C5,19/09/18,5.7,n,Adnataria
S56,Sid_2811,T3D1,19/09/18,10.3,y,Adnataria
S57,Sid_2811,T3D2,19/09/18,6.7,n,Adnataria
S58,Sid_2811,T3D3,19/09/18,0,y,Adnataria
S59,Sid_2811,T3D4,19/09/18,6.8,n,Adnataria
S60,Sid_2811,T3D5,19/09/18,4,y,Adnataria
S61,Poly_672,T4A1,19/09/18,0,y,Adnataria
S62,Poly_672,T4A2,19/09/18,0,n,Adnataria
S63,Poly_672,T4A3,19/09/18,5.3,y,Adnataria
S64,Poly_672,T4A4,19/09/18,4.5,n,Adnataria
S65,Poly_672,T4A5,19/09/18,9.8,y,Adnataria
S66,Poly_672,T4B1,19/09/18,3.9,n,Adnataria
S67,Poly_672,T4B2,19/09/18,0,y,Adnataria
S68,Poly_672,T4B3,19/09/18,0,n,Adnataria
S69,Poly_672,T4B4,19/09/18,0,y,Adnataria
S70,Poly_672,T4B5,19/09/18,3.8,n,Adnataria
S71,Poly_672,T4C1,19/09/18,6.5,y,Adnataria
S72,Poly_672,T4C2,19/09/18,2.6,n,Adnataria
S73,Poly_672,T4C3,19/09/18,5.3,y,Adnataria
S74,Poly_672,T4C4,19/09/18,5.5,n,Adnataria
S75,Poly_672,T4C5,19/09/18,3.7,y,Adnataria
